Step Count,date,Date
28249,2022-01-03,2022-01-03
77649,2022-01-10,2022-01-10
83951,2022-01-17,2022-01-17
74274,2022-01-24,2022-01-24
63231,2022-01-31,2022-01-31
55930,2022-02-07,2022-02-07
63024,2022-02-14,2022-02-14
66027,2022-02-21,2022-02-21
51431,2022-02-28,2022-02-28
35486,2022-03-07,2022-03-07
54689,2022-03-14,2022-03-14
75372,2022-03-21,2022-03-21
54388,2022-03-28,2022-03-28
50571,2022-04-04,2022-04-04
52824,2022-04-11,2022-04-11
51157,2022-04-18,2022-04-18
54777,2022-04-25,2022-04-25
62363,2022-05-02,2022-05-02
62858,2022-05-09,2022-05-09
46138,2022-05-16,2022-05-16
36291,2022-05-23,2022-05-23
38015,2022-05-30,2022-05-30
74772,2022-06-06,2022-06-06
87910,2022-06-13,2022-06-13
65050,2022-06-20,2022-06-20
61177,2022-06-27,2022-06-27
51640,2022-07-04,2022-07-04
57306,2022-07-11,2022-07-11
68050,2022-07-18,2022-07-18
54075,2022-07-25,2022-07-25
58413,2022-08-01,2022-08-01
53274,2022-08-08,2022-08-08
66158,2022-08-15,2022-08-15
72282,2022-08-22,2022-08-22
59366,2022-08-29,2022-08-29
39874,2022-09-05,2022-09-05
