Date,Count
2022-01-01,114
2022-01-02,8681
2022-01-03,5104
2022-01-04,8031
2022-01-05,7743
2022-01-06,8948
2022-01-07,2707
2022-01-10,347
2022-01-27,4
2022-02-01,32
2022-02-02,6532
2022-02-03,5468
2022-02-04,4540
2022-02-05,3016
2022-02-06,5355
2022-02-07,12351
2022-02-08,7261
2022-02-09,5843
2022-02-10,4023
2022-02-11,6248
2022-02-12,3046
2022-02-13,9380
2022-02-14,8547
2022-02-15,4992
2022-02-16,4516
2022-02-17,4179
2022-02-18,3563
2022-02-19,3022
2022-02-20,7171
2022-02-21,10212
2022-02-22,6778
2022-02-23,8282
2022-02-24,6267
2022-02-25,3150
2022-02-26,5071
2022-02-27,9752
2022-02-28,8489
2022-03-01,4658
2022-03-02,9049
2022-03-03,11677
2022-03-04,3382
2022-03-05,3246
2022-03-06,9977
2022-03-07,9900
2022-03-08,3354
2022-03-09,6761
2022-03-10,15980
2022-03-11,8529
2022-03-12,9613
2022-03-13,10403
2022-03-14,17365
2022-03-15,9931
2022-03-16,9269
2022-03-17,8851
2022-03-18,5241
2022-03-19,8726
2022-03-20,2513
2022-03-21,12484
2022-03-22,9292
2022-03-23,9272
2022-03-24,15764
2022-03-25,14572
2022-03-26,16677
2022-03-27,12677
2022-03-28,12474
2022-03-29,6447
2022-03-30,163
2022-03-31,6654
2022-04-01,3578
2022-04-02,22543
2022-04-03,26037
2022-04-04,14320
2022-04-05,13125
2022-04-06,9515
2022-04-07,14271
2022-04-08,18481
2022-04-09,8391
2022-04-10,23270
2022-04-11,15145
2022-04-12,18749
2022-04-13,11984
2022-04-14,17630
2022-04-15,10033
2022-04-16,7395
2022-04-17,8200
2022-04-18,9763
2022-04-19,6233
2022-04-20,9902
2022-04-21,4826
2022-04-22,18156
2022-04-23,9001
2022-04-24,17785
2022-04-25,9476
2022-04-26,4245
2022-04-27,7694
2022-04-28,17967
2022-04-29,46647
2022-04-30,31052
2022-05-01,14185
2022-05-02,12940
2022-05-03,3494
2022-05-04,2792
2022-05-05,6811
2022-05-06,4886
2022-05-07,6119
2022-05-08,5319
2022-05-09,12266
2022-05-10,3242
2022-05-11,3720
2022-05-12,8254
2022-05-13,4033
2022-05-14,8002
2022-05-15,11287
2022-05-16,12208
2022-05-17,4415
2022-05-18,4782
2022-05-19,10831
2022-05-20,5282
2022-05-21,8160
2022-05-22,13815
2022-05-23,8081
2022-05-24,7025
2022-05-25,6904
2022-05-26,7618
2022-05-27,8373
2022-05-28,11384
2022-05-29,6447
2022-05-30,6680
2022-05-31,10100
2022-06-01,8626
2022-06-02,6391
2022-06-03,8715
2022-06-04,11532
2022-06-05,16530
2022-06-06,19231
2022-06-07,8338
2022-06-08,11165
2022-06-09,6528
2022-06-10,9141
2022-06-11,7307
2022-06-12,21138
2022-06-13,17208
2022-06-14,15868
2022-06-15,43749
2022-06-16,15621
2022-06-17,12147
2022-06-18,12063
2022-06-19,12718
2022-06-20,21566
2022-06-21,15296
2022-06-22,28389
2022-06-23,14750
2022-06-24,14607
2022-06-25,9754
2022-06-26,14372
2022-06-27,3511
2022-06-28,2330
2022-06-29,5596
2022-06-30,12600
2022-07-01,13595
2022-07-02,7183
2022-07-03,8113
2022-07-04,7133
2022-07-05,5672
2022-07-06,5877
2022-07-07,6283
2022-07-08,13337
2022-07-09,7221
2022-07-10,4910
2022-07-11,10908
2022-07-12,11012
2022-07-13,11349
2022-07-14,9193
2022-07-15,9555
2022-07-16,10617
2022-07-17,9688
2022-07-18,8903
2022-07-19,7180
2022-07-20,4115
2022-07-21,4236
2022-07-22,8664
2022-07-23,7488
2022-07-24,6452
2022-07-25,5536
2022-07-26,7359
2022-07-27,4363
2022-07-28,3293
2022-07-29,10545
2022-07-30,10374
2022-07-31,10045
2022-08-01,6935
2022-08-02,13833
2022-08-03,4804
2022-08-04,3158
2022-08-05,7349
2022-08-06,11078
2022-08-07,6193
2022-08-08,3564
2022-08-09,3742
2022-08-10,5486
2022-08-11,5169
2022-08-12,4373
2022-08-13,5521
2022-08-14,6386
2022-08-15,5188
2022-08-16,10557
2022-08-17,8648
2022-08-18,8424
2022-08-19,13213
2022-08-20,10751
2022-08-21,9664
2022-08-22,6100
2022-08-23,8671
2022-08-24,8195
2022-08-25,10596
2022-08-26,11186
2022-08-27,12485
2022-08-28,12888
2022-08-29,6036
2022-08-30,9820
2022-08-31,10523
2022-09-01,6801
