Date,Count,date
2022-01-03,54543,2022-01-03
2022-01-10,125155,2022-01-10
2022-01-17,122669,2022-01-17
2022-01-24,116574,2022-01-24
2022-01-31,92376,2022-01-31
2022-02-07,82908,2022-02-07
2022-02-14,88676,2022-02-14
2022-02-21,98615,2022-02-21
2022-02-28,78491,2022-02-28
2022-03-07,58904,2022-03-07
2022-03-14,100594,2022-03-14
2022-03-21,130721,2022-03-21
2022-03-28,91636,2022-03-28
2022-04-04,91020,2022-04-04
2022-04-11,96401,2022-04-11
2022-04-18,81215,2022-04-18
2022-04-25,101781,2022-04-25
2022-05-02,92220,2022-05-02
2022-05-09,88321,2022-05-09
2022-05-16,65048,2022-05-16
2022-05-23,90065,2022-05-23
2022-05-30,59819,2022-05-30
2022-06-06,115377,2022-06-06
2022-06-13,134435,2022-06-13
2022-06-20,84737,2022-06-20
2022-06-27,104758,2022-06-27
2022-07-04,73041,2022-07-04
2022-07-11,88787,2022-07-11
2022-07-18,91695,2022-07-18
2022-07-25,69689,2022-07-25
2022-08-01,96156,2022-08-01
2022-08-08,88614,2022-08-08
2022-08-15,102209,2022-08-15
2022-08-22,96916,2022-08-22
2022-08-29,118255,2022-08-29
2022-09-05,50534,2022-09-05
