week,Steps (count)
1,48061.00000000001
2,45772.00000000001
3,64604.99999999999
4,52110.99999999999
5,52745.999999999985
6,57124.00000000002
7,66693.99999999999
8,47431.00000000001
9,51289.99999999999
10,53691.99999999999
11,56876.0
12,67034.99999999999
13,54875.00000000001
14,59333.0
15,61871.591248161196
16,57057.408751838804
17,27508.000000000007
18,53033.00000000001
19,55363.0
20,49861.999999999985
21,57809.99999999999
22,52799.00000000001
23,52088.000000000015
24,46412.999999999985
25,44960.0
26,59203.0
27,42272.000000000015
28,54566.999999999985
29,52939.99999999999
30,61220.00000000002
31,62450.035842155135
32,56873.619987730846
33,59772.3148671422
34,54765.57849076069
35,50097.131635870515
36,65206.684002947724
37,13084.366487907088
52,14739.999999999998
