,Start,Steps (count)
0,2022-01-02,21939
1,2022-01-09,74612
2,2022-01-16,77170
3,2022-01-23,76815
4,2022-01-30,67913
5,2022-02-06,58371
6,2022-02-13,65889
7,2022-02-20,60379
8,2022-02-27,53185
9,2022-03-06,40054
10,2022-03-13,49387
11,2022-03-20,69494
12,2022-03-27,59317
13,2022-04-03,54628
14,2022-04-10,49317
15,2022-04-17,54858
16,2022-04-24,42899
17,2022-05-01,71268
18,2022-05-08,65515
19,2022-05-15,45622
20,2022-05-22,40432
21,2022-05-29,34533
22,2022-06-05,66211
23,2022-06-12,91478
24,2022-06-19,70026
25,2022-06-26,52898
26,2022-07-03,55920
27,2022-07-10,53430
28,2022-07-17,73466
29,2022-07-24,54879
30,2022-07-31,56920
31,2022-08-07,57114
32,2022-08-14,59699
33,2022-08-21,75353
34,2022-08-28,58847
35,2022-09-04,48204
