Start,Steps (count)
2022/1/2,1655
2022/1/9,52902
2022/1/16,9209
2022/1/23,2571
2022/1/30,15574
2022/2/6,52452
2022/2/13,20247
2022/2/20,75338
2022/2/27,52133
2022/3/6,23206
2022/3/13,8384
2022/3/20,57213
2022/3/27,50427
2022/4/3,37313
2022/4/10,22570
2022/4/17,16496
2022/4/24,24331
2022/5/1,27778
2022/5/8,71029
2022/5/15,29831
2022/5/22,55931
2022/5/29,34911
2022/6/5,20166
2022/6/12,26875
2022/6/19,36067
2022/6/26,57675
2022/7/3,40158
2022/7/10,36861
2022/7/17,15495
2022/7/24,31114
2022/7/31,31725
2022/8/7,33862
2022/8/14,49514
2022/8/21,49321
2022/8/28,47484
2022/9/4,54270
2022/9/11,20749
2022/9/18,0
2022/9/25,0
2022/10/2,11198
2022/10/9,32466
2022/10/16,0
2022/10/23,0
2022/10/30,0
2022/11/6,30998
2022/11/13,17179
2022/11/20,0
2022/11/27,0
2022/12/4,21305
2022/12/11,25694
