Date,Count
2022-01-01,22332
2022-01-02,23324
2022-01-03,8887
2022-01-04,22684
2022-01-05,19482
2022-01-06,25692
2022-01-07,9126
2022-01-08,12974
2022-01-09,19174
2022-01-10,16023
2022-01-11,3738
2022-01-12,10062
2022-01-13,20191
2022-01-14,25509
2022-01-15,21320
2022-01-16,18284
2022-01-17,23565
2022-01-18,7382
2022-01-19,12573
2022-01-20,13753
2022-01-21,26017
2022-01-22,28919
2022-01-23,6873
2022-01-24,21057
2022-01-25,9555
2022-01-26,15185
2022-01-27,14011
2022-01-28,9228
2022-01-29,20613
2022-01-30,10417
2022-01-31,13367
2022-02-01,20053
2022-02-02,4128
2022-02-03,19429
2022-02-04,9518
2022-02-05,17392
2022-02-06,7521
2022-02-07,4867
2022-02-08,5290
2022-02-09,13884
2022-02-10,12599
2022-02-11,7815
2022-02-12,4410
2022-02-13,27379
2022-02-14,17299
2022-02-15,14697
2022-02-16,23127
2022-02-17,15123
2022-02-18,9346
2022-02-19,6609
2022-02-20,13346
2022-02-21,16367
2022-02-22,4458
2022-02-23,12836
2022-02-24,12768
2022-02-25,7964
2022-02-26,15163
2022-02-27,12749
2022-02-28,12553
2022-03-01,9623
2022-03-02,7334
2022-03-03,13748
2022-03-04,10600
2022-03-05,5365
2022-03-06,4582
2022-03-07,7652
2022-03-08,8294
2022-03-09,8164
2022-03-10,16195
2022-03-11,20333
2022-03-12,13477
2022-03-13,18557
2022-03-14,15574
2022-03-15,13936
2022-03-16,16073
2022-03-17,6476
2022-03-18,14166
2022-03-19,21865
2022-03-20,36338
2022-03-21,21867
2022-03-22,12611
2022-03-23,12555
2022-03-24,14336
2022-03-25,10934
2022-03-26,21482
2022-03-27,3123
2022-03-28,16595
2022-03-29,18637
2022-03-30,13130
2022-03-31,12758
2022-04-01,9403
2022-04-02,16308
2022-04-03,14383
2022-04-04,6401
2022-04-05,22288
2022-04-06,12212
2022-04-07,8695
2022-04-08,11752
2022-04-09,6385
2022-04-10,19740
2022-04-11,15329
2022-04-12,18840
2022-04-13,10509
2022-04-14,13734
2022-04-15,11877
2022-04-16,15856
2022-04-17,5549
2022-04-18,4850
2022-04-19,14866
2022-04-20,23270
2022-04-21,8209
2022-04-22,5734
2022-04-23,9001
2022-04-24,10478
2022-04-25,30223
2022-04-26,6791
2022-04-27,16805
2022-04-28,5489
2022-04-29,12031
2022-04-30,11580
2022-05-01,23332
2022-05-02,16192
2022-05-03,13084
2022-05-04,11023
2022-05-05,17118
2022-05-06,13776
2022-05-07,14575
2022-05-08,13294
2022-05-09,5451
2022-05-10,13846
2022-05-11,16916
2022-05-12,1424
2022-05-13,9495
2022-05-14,6923
2022-05-15,3418
2022-05-16,13026
2022-05-17,20658
2022-05-18,8611
2022-05-19,20505
2022-05-20,4289
2022-05-21,22117
2022-05-22,9807
2022-05-23,4078
2022-05-24,7116
2022-05-25,12780
2022-05-26,11780
2022-05-27,5664
2022-05-28,12118
2022-05-29,5978
2022-05-30,4383
2022-05-31,22063
2022-06-01,22151
2022-06-02,14908
2022-06-03,10989
2022-06-04,23084
2022-06-05,3762
2022-06-06,18420
2022-06-07,45299
2022-06-08,23199
2022-06-09,15575
2022-06-10,4985
2022-06-11,5548
2022-06-12,23914
2022-06-13,15915
2022-06-14,9178
2022-06-15,9705
2022-06-16,41282
2022-06-17,9817
2022-06-18,4270
2022-06-19,5899
2022-06-20,4586
2022-06-21,19902
2022-06-22,21238
2022-06-23,12367
2022-06-24,7125
2022-06-25,6194
2022-06-26,14614
2022-06-27,23318
2022-06-28,13670
2022-06-29,16112
2022-06-30,12202
2022-07-01,9912
2022-07-02,5043
2022-07-03,7946
2022-07-04,8156
2022-07-05,7168
2022-07-06,8292
2022-07-07,16769
2022-07-08,10047
2022-07-09,11145
2022-07-10,10789
2022-07-11,24577
2022-07-12,15057
2022-07-13,8767
2022-07-14,9138
2022-07-15,21569
2022-07-16,6160
2022-07-17,20623
2022-07-18,10381
2022-07-19,5459
2022-07-20,11657
2022-07-21,11668
2022-07-22,13402
2022-07-23,12039
2022-07-24,7763
2022-07-25,7701
2022-07-26,6737
2022-07-27,25848
2022-07-28,23593
2022-07-29,10249
2022-07-30,17979
2022-07-31,4086
2022-08-01,7664
2022-08-02,16286
2022-08-03,16600
2022-08-04,11944
2022-08-05,13659
2022-08-06,9860
2022-08-07,12334
2022-08-08,7931
2022-08-09,5836
2022-08-10,28261
2022-08-11,18696
2022-08-12,9943
2022-08-13,25909
2022-08-14,6552
2022-08-15,7012
2022-08-16,11247
2022-08-17,14019
2022-08-18,6667
2022-08-19,24220
2022-08-20,10610
2022-08-21,18735
2022-08-22,11418
2022-08-23,8827
2022-08-24,18512
2022-08-25,9486
2022-08-26,27007
2022-08-27,23460
2022-08-28,17600
2022-08-29,13363
2022-08-30,17756
2022-08-31,19119
2022-09-01,13659
