Finish,Steps (count)
2022-01-02,21946.0
2022-01-09,74622.0
2022-01-16,77052.16884695156
2022-01-23,76865.82680496386
2022-01-30,68044.00000000003
2022-02-06,58304.99999999999
2022-02-13,65919.92503099889
2022-02-20,60324.999999999985
2022-02-27,53270.651647759674
2022-03-06,40147.0
2022-03-13,49309.52656696796
2022-03-20,69602.33325282502
2022-03-27,59318.35656532934
2022-04-03,54651.77713747382
2022-04-10,49287.99999999998
2022-04-17,54724.409557715604
2022-04-24,42880.822850767225
2022-05-01,71351.80149508346
2022-05-08,65375.99999999999
2022-05-15,45969.99999999999
2022-05-22,40442.814612171744
2022-05-29,34415.00000000001
2022-06-05,66218.99999999999
2022-06-12,91555.39830921474
2022-06-19,69952.0
2022-06-26,53088.81480777707
2022-07-03,55305.694524623446
2022-07-10,54064.30547537656
2022-07-17,73334.99999999999
2022-07-24,54881.0
2022-07-31,56903.0
2022-08-07,57345.78962961406
2022-08-14,59544.0
2022-08-21,75220.0744524831
2022-08-28,59174.99999999996
2022-09-04,48231.91844315897
