Start,Steps (count)
2022-01-02,21939
2022-01-09,74612
2022-01-16,77170
2022-01-23,76815
2022-01-30,67913
2022-02-06,58371
2022-02-13,65889
2022-02-20,60379
2022-02-27,53185
2022-03-06,40054
2022-03-13,49387
2022-03-20,69494
2022-03-27,59317
2022-04-03,54628
2022-04-10,49317
2022-04-17,54858
2022-04-24,42899
2022-05-01,71268
2022-05-08,65515
2022-05-15,45622
2022-05-22,40432
2022-05-29,34533
2022-06-05,66211
2022-06-12,91478
2022-06-19,70026
2022-06-26,52898
2022-07-03,55920
2022-07-10,53430
2022-07-17,73466
2022-07-24,54879
2022-07-31,56920
2022-08-07,57114
2022-08-14,59699
2022-08-21,75353
2022-08-28,58847
2022-09-04,48204
